ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",       1.28340,  -214.399E-03,   434.064E-03,      -1.18858
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   512.247E-03,  -189.615E-03,   449.786E-03,  -155.357E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   366.650E-03,  -152.715E-03,   280.772E-03,   179.658E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   580.892E-03,  -178.036E-03,   337.381E-03,  -438.078E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   483.010E-03,  -185.218E-03,   442.520E-03,  -56.2926E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   539.920E-03,  -137.343E-03,   444.793E-03,  -273.514E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72178,      -11.3847,       439.694,      -727.651,NA,NA,"",   412.002E-03,  -140.564E-03,   379.557E-03,  -76.9686E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75248,  -647.386E-03,       433.685,      -733.792,NA,NA,"",   285.690E-03,  -124.763E-03,   240.421E-03,   90.8339E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76817,  -299.212E-03,       448.134,      -730.141,NA,NA,"",   389.072E-03,  -116.649E-03,   311.654E-03,  -201.598E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79122,       10.3535,       439.980,      -728.202,NA,NA,"",   362.371E-03,  -137.413E-03,   335.220E-03,   7.61251E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79529,      -11.0291,       440.625,      -725.561,NA,NA,"",   538.511E-03,  -396.374E-03,   363.105E-03,  -32.1919E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79568,      -9.66771,       446.593,      -725.880,NA,NA,"",   713.280E-03,  -327.172E-03,   591.465E-03,  -227.809E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         81971,  -257.612E-03,       448.750,      -728.916,NA,NA,"",   904.866E-03,  -114.167E-03,   821.316E-03,  -362.201E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",       1.18595,  -13.0617E-03,   151.149E-03,      -1.17621
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   482.041E-03,  -104.295E-03,   193.179E-03,  -429.147E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   254.642E-03,  -118.817E-03,   34.0644E-03,  -222.631E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   664.036E-03,  -70.6558E-03,   76.3645E-03,  -655.835E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   442.805E-03,  -100.020E-03,   106.994E-03,  -417.881E-03
C:/Users/ctkey/Desktop/Bulge4/S2_6N_Fixed_NoTether_Upgrade.odb,Load1,Increment      9: Step Time =   5.0258E-02,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   346.184E-03,  -50.3732E-03,   142.395E-03,  -311.496E-03
