ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",       1.29104,  -324.274E-03,   184.059E-03,      -1.23602
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   671.953E-03,  -30.6216E-03,   92.4882E-03,  -664.852E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   645.261E-03,  -3.68400E-03,   109.982E-03,  -635.808E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   938.945E-03,  -153.343E-03,   143.590E-03,  -915.142E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   920.212E-03,  -48.0983E-03,   288.288E-03,  -872.564E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   365.214E-03,  -48.7515E-03,   37.7451E-03,  -359.972E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72178,      -11.3847,       439.694,      -727.651,NA,NA,"",   368.266E-03,  -40.2390E-03,   52.3665E-03,  -362.296E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75248,  -647.386E-03,       433.685,      -733.792,NA,NA,"",   404.415E-03,  -50.3937E-03,   67.1510E-03,  -395.604E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76817,  -299.212E-03,       448.134,      -730.141,NA,NA,"",   446.031E-03,  -74.4997E-03,   78.2994E-03,  -432.739E-03
C:/Users/ctkey/Desktop/Bulge3/S2_6P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79122,       10.3535,       439.980,      -728.202,NA,NA,"",   474.298E-03,  -42.8315E-03,   110.986E-03,  -459.137E-03
